title,link,published,summary
"Angka Golput Pilkada Jakarta Tinggi, Perludem: Calonnya Tak Sesuai Aspirasi Masyarakat",https://nasional.tempo.co/read/1946919/angka-golput-pilkada-jakarta-tinggi-perludem-calonnya-tak-sesuai-aspirasi-masyarakat,"Fri, 29 Nov 2024 14:58:00 +0700",Perludem menilai tingginya angka golput Pilkada Jakarta disebabkan oleh ketidaksesuaian aspirasi masyarakat dengan calon yang diusung partai.
Kemenhan-KKP Kolaborasi Bangun Kawasan Pertahanan dan Perikanan di Pulau Morotai,https://nasional.tempo.co/read/1946900/kemenhan-kkp-kolaborasi-bangun-kawasan-pertahanan-dan-perikanan-di-pulau-morotai,"Fri, 29 Nov 2024 14:09:00 +0700",Pulau Morotai terbilang cukup strategis untuk dijadikan kawasan pertahanan.
Sampul dan Liputan Tempo tentang Judi Online Sesuai Kode Etik Jurnalistik,https://nasional.tempo.co/read/1946896/sampul-dan-liputan-tempo-tentang-judi-online-sesuai-kode-etik-jurnalistik,"Fri, 29 Nov 2024 13:53:37 +0700",Dewan Pers menyatakan sampul dan liputan judi online bergambar Budi Arie Setiadi tak melanggar kode etik jurnalistik.
Pengamat: Pilkada Kota Banjarbaru Harusnya Lawan Kotak Kosong,https://nasional.tempo.co/read/1946881/pengamat-pilkada-kota-banjarbaru-harusnya-lawan-kotak-kosong,"Fri, 29 Nov 2024 13:13:00 +0700",Paslon yang telah didiskualifikasi dalam Pilkada Kota Banjarbaru memeroleh suara terbanyak.
"53 Tahun BP Batam, Ada Pegawai yang Terlibat penyelundupan Pekerja Migran Ilegal",https://nasional.tempo.co/read/1946873/53-tahun-bp-batam-ada-pegawai-yang-terlibat-penyelundupan-pekerja-migran-ilegal,"Fri, 29 Nov 2024 13:00:31 +0700",ASN BP Batam diduga telah menyelundupkan pekerja migran illegal. Berikut sejarah 53 tahun BP Batam.
Beragam Destinasi Wisata di Sumba Barat Daya,https://nasional.tempo.co/read/1946855/beragam-destinasi-wisata-di-sumba-barat-daya,"Fri, 29 Nov 2024 11:53:31 +0700",Sumba Barat Daya menawarkan perpaduan sempurna antara keindahan alam dan budaya yang kaya.
Pilkada 2024 Serentak: Perbedaan Quick Count dan Real Count,https://nasional.tempo.co/read/1946853/pilkada-2024-serentak-perbedaan-quick-count-dan-real-count,"Fri, 29 Nov 2024 11:44:29 +0700","Real count dan quick count adalah dua metode untuk mengetahui hasil pemilihan umum dan Pilkada 2024, apa bedanya?"
Mensesneg soal Kasetpres Prabowo dari Militer: Kami Paham Track Record Mayjen Ariyo,https://nasional.tempo.co/read/1946849/mensesneg-soal-kasetpres-prabowo-dari-militer-kami-paham-track-record-mayjen-ariyo,"Fri, 29 Nov 2024 11:31:00 +0700",Menteri Sekretaris Negara Prasetyo Hadi menegaskan bahwa Presiden Prabowo Subianto memilih Mayjen TNI Ariyo Windutomo sebagai Kasetpres karena kompetensinya yang dinilai terbaik.
"Usai Pencoblosan, MK Sebut Belum Ada Gugatan Sengketa Pilkada 2024",https://nasional.tempo.co/read/1946836/usai-pencoblosan-mk-sebut-belum-ada-gugatan-sengketa-pilkada-2024,"Fri, 29 Nov 2024 10:51:00 +0700",MK membentuk gugus tugas untuk menangani sengketa pilkada 2024.
"Alwin Kiemas Pelaku Situs Judi Online, PDIP Tegaskan Bukan Keluarga Megawati-Taufiq Kiemas",https://nasional.tempo.co/read/1946837/alwin-kiemas-pelaku-situs-judi-online-pdip-tegaskan-bukan-keluarga-megawati-taufiq-kiemas,"Fri, 29 Nov 2024 10:50:10 +0700",Alwin Kiemas ditetapkan sebagai pelaku jaringan situs judi online. PDIP membantah Alwin ada hubungan keluarga dengan Megawati-Taufiq Kiemas.
Wali Kota Cilegon Apresiasi ASN Bantu Realisasikan Visi-Misi,https://nasional.tempo.co/read/1946833/wali-kota-cilegon-apresiasi-asn-bantu-realisasikan-visi-misi,"Fri, 29 Nov 2024 10:40:00 +0700",Wali Kota Cilegon Helldy Agustian memberikan apresiasi kepada seluruh ASN yang telah bekerja keras  merealisasikan visi dan misi dia selama memimpin kota itu.
"Respons Listyo Sigit, Budi Gunawan, dan Komnas HAM Soal Kasus Polisi Tembak Polisi di Solok Selatan",https://nasional.tempo.co/read/1946830/respons-listyo-sigit-budi-gunawan-dan-komnas-ham-soal-kasus-polisi-tembak-polisi-di-solok-selatan,"Fri, 29 Nov 2024 10:27:08 +0700","Peristiwa polisi tembak polisi di Solok Selatan menjadi sorotan publik. Bagaimana respons Kapolri, Menkopolkam, dan Komnas HAM?"
"Hanya Dapat 33 Persen Suara, Calon Bupati Inkumben Kalah Telak di Pilkada Garut",https://nasional.tempo.co/read/1946828/hanya-dapat-33-persen-suara-calon-bupati-inkumben-kalah-telak-di-pilkada-garut,"Fri, 29 Nov 2024 10:20:04 +0700",Pilkada Kabupaten Garut memberi kejutan dengan kekalahan pasangan calon inkumben Helmi Budiman-Yudi Nugraha.
Cak Imin Sebut Pemerintah Cari Solusi agar Pelayanan Korban Judi Online Ditanggung BPJS,https://nasional.tempo.co/read/1946819/cak-imin-sebut-pemerintah-cari-solusi-agar-pelayanan-korban-judi-online-ditanggung-bpjs,"Fri, 29 Nov 2024 10:12:00 +0700","Cak Imin mengatakan, sejumlah rumah sakit memang sudah merawat korban judi online."
Respons Anggota DPR atas Usulan Menempatkan Polri di Bawah Kementerian,https://nasional.tempo.co/read/1946823/respons-anggota-dpr-atas-usulan-menempatkan-polri-di-bawah-kementerian,"Fri, 29 Nov 2024 10:09:31 +0700",Anggota DPR Nasir Djamil menilai penempatan Polri langsung di Presiden sudah tepat.
"Heru Budi Tak Lagi Jadi Kasetpres, Apa Jabatannya Kini?",https://nasional.tempo.co/read/1946815/heru-budi-tak-lagi-jadi-kasetpres-apa-jabatannya-kini,"Fri, 29 Nov 2024 09:49:23 +0700",Heru Budi Hartono ditunjuk sebagai Staf Khusus Menteri Sekretaris Negara (Mensesneg) Prasetyo Hadi setelah dirotasi dari posisi Kepala Sekretariat Presiden atau Kasetpres.
Presiden Prabowo Gelar Sidang Kabinet Paripurna di Istana Sore Ini,https://nasional.tempo.co/read/1946809/presiden-prabowo-gelar-sidang-kabinet-paripurna-di-istana-sore-ini,"Fri, 29 Nov 2024 09:35:58 +0700","Presiden Prabowo Subianto akan menggelar Sidang Kabinet di Kantor Presiden, kompleks Istana Kepresidenan Jakarta."
Cak Imin: Klaim BPJS Belum Bisa Sepenuhnya untuk Korban Judol,https://nasional.tempo.co/read/1946806/cak-imin-klaim-bpjs-belum-bisa-sepenuhnya-untuk-korban-judol,"Fri, 29 Nov 2024 09:34:52 +0700",Cak Imin mengatakan korban judi online (Judol) belum bisa sepenuhnya dilayani melalui bantuan Badan Penyelenggara Jaminan Sosial (BPJS) Kesehatan.
"Polri Pecat AKP Dadang Iskandar sebagai Kepala Bagian Operasional Polres Solok Selatan, Apa Tugas Kepala Bagops",https://nasional.tempo.co/read/1946804/polri-pecat-akp-dadang-iskandar-sebagai-kepala-bagian-operasional-polres-solok-selatan-apa-tugas-kepala-bagops,"Fri, 29 Nov 2024 09:30:06 +0700","AKP Dadang Iskandar, pelaku penembakan sesama rekan polisi menjabat Kepala Bagian Operasional Polres Solok Selatan. Apa tugas Kepala Bagops?"
"KIM Unggul Pilkada 2024 di Sejumlah Daerah kecuali Jakarta, Ray Rangkuti: Ibarat Juara Tanpa Mahkota",https://nasional.tempo.co/read/1946799/kim-unggul-pilkada-2024-di-sejumlah-daerah-kecuali-jakarta-ray-rangkuti-ibarat-juara-tanpa-mahkota,"Fri, 29 Nov 2024 09:25:00 +0700",Ray Rangkuti mengatakan kemenangan KIM di sejumlah provinsi pada Pilkada 2024 serentak itu layaknya juara tanpa mahkota.
"KPU Kabupaten Karanganyar Akan Gelar Pemungutan Suara Ulang di Satu TPS, Ini Sebabnya",https://nasional.tempo.co/read/1946800/kpu-kabupaten-karanganyar-akan-gelar-pemungutan-suara-ulang-di-satu-tps-ini-sebabnya,"Fri, 29 Nov 2024 09:23:00 +0700",KPU Kabupaten Karanganyar akan melakukan pencoblosan ulang di salah satu TPS.
ICW Minta KPU Serius Tangani Dana Kampanye Pilkada 2024,https://nasional.tempo.co/read/1946793/icw-minta-kpu-serius-tangani-dana-kampanye-pilkada-2024,"Fri, 29 Nov 2024 08:56:36 +0700","Seira Tamara, Anggota Divisi Korupsi Politik ICW, mengatakan masih ada 33 paslon yang jumlah pengeluaran dana kampanyenya berjumlah Rp 0."
"Mendikdasmen Didesak Bikin Regulasi Lindungi Guru, Buntut Krimininalisasi di Konawe Selatan",https://nasional.tempo.co/read/1946790/mendikdasmen-didesak-bikin-regulasi-lindungi-guru-buntut-krimininalisasi-di-konawe-selatan,"Fri, 29 Nov 2024 08:51:39 +0700",Organisasi profesi pengawas sekolah dan kepala sekolah mendesak Menteri Pendidikan Dasar dan Menengah Abdul Mu'ti dan DPR untuk menerbitkan regulasi perlindungan guru.
"Yakin Pilkada Jakarta Dua Putaran, Tim RIDO Konsolidasikan Parpol Pendukung",https://nasional.tempo.co/read/1946785/yakin-pilkada-jakarta-dua-putaran-tim-rido-konsolidasikan-parpol-pendukung,"Fri, 29 Nov 2024 08:39:09 +0700",Tim RIDO menyebut bakal menyiapkan sejumlah kader terbaik untuk mengikuti proses rekapitulasi suara Pilkada Jakarta.
Hasil Quick Count Poltracking: Pramono Anung-Rano Karno Unggul di atas 50 Persen,https://nasional.tempo.co/read/1946782/hasil-quick-count-poltracking-pramono-anung-rano-karno-unggul-di-atas-50-persen,"Fri, 29 Nov 2024 08:28:57 +0700","Berdasarkan hasil quick count Poltracking Indonesia, pasangan Pramono Anung-Rano Karno menang di Pilkada Jakarta dengan 50 persen lebih suara."
Kenaikan Gaji dan Pelbagai Kebijakan Prabowo untuk Meningkatkan Kesejahteraan Guru,https://nasional.tempo.co/read/1946780/kenaikan-gaji-dan-pelbagai-kebijakan-prabowo-untuk-meningkatkan-kesejahteraan-guru,"Fri, 29 Nov 2024 08:14:07 +0700","Selain kenaikan gaji dan tunjangan, berbagai langkah kebijakan yang diklaim bisa meningkatkan kesejahteraan guru dipersiapkan oleh Prabowo. Apa Saja?"
Mensesneg Lantik Mayjen TNI Ariyo Windutomo sebagai Kasetpres Pagi Ini,https://nasional.tempo.co/read/1946778/mensesneg-lantik-mayjen-tni-ariyo-windutomo-sebagai-kasetpres-pagi-ini,"Fri, 29 Nov 2024 07:57:47 +0700",Mensesneg Prasetyo Hadi akan melantik Mayjen TNI Ariyo Windutomo sebagai Kepala Sekretariat Presiden menggantikan Heru Budi hartono.
"Mengenal Melan Achmad, Mbah Guru Matematika TikTok",https://nasional.tempo.co/read/1946774/mengenal-melan-achmad-mbah-guru-matematika-tiktok,"Fri, 29 Nov 2024 07:47:00 +0700","Berawal dari rumah kontrakannya di Jawa Tengah, Mbah Guru Matematika mendapat penghargaan dari Presiden Prabowo."
Tahapan Pilkada 2024 Setelah Pemungutan Suara,https://nasional.tempo.co/read/1946764/tahapan-pilkada-2024-setelah-pemungutan-suara,"Fri, 29 Nov 2024 07:18:00 +0700",Terdapat beberapa tahapan lagi dalam menentukan pemimpin dan wakilnya tingkat daerah. Ini rincian tahapan yang akan berlangsung pasca pemungutan suara
PDIP Siap Beberkan Dugaan Pelanggaran TSM di Pilkada ke MK,https://nasional.tempo.co/read/1946765/pdip-siap-beberkan-dugaan-pelanggaran-tsm-di-pilkada-ke-mk,"Fri, 29 Nov 2024 06:53:47 +0700",PDIP mengungkapkan menemukan dugaan ketidaknetralan aparat keamanan pada Pilkada 2024.
DPR Usul Pilkada Provinsi Dipilih oleh DPRD,https://nasional.tempo.co/read/1946762/dpr-usul-pilkada-provinsi-dipilih-oleh-dprd,"Fri, 29 Nov 2024 06:40:07 +0700","Wakil Ketua Badan Anggaran (Banggar) DPR RI Jazilul Fawaid mengusulkan agar Pilkada di tingkat provinsi dipilih melalui DPRD masing-masing provinsi,"
"Sejarah Metode Quick Count, Siapa yang Pertama Kali Memulai?",https://nasional.tempo.co/read/1946760/sejarah-metode-quick-count-siapa-yang-pertama-kali-memulai,"Fri, 29 Nov 2024 06:34:53 +0700","Perhitungan cepat atau quick count selalu dinanti dalam setiap pemilu dan pilkada,. Apa quick count itu dan bagaimana sejarah awalnya?"
"Prabowo Beri Penghargaan untuk 'Mbah Guru Matematika', Dapat Hadiah Rp 100 Juta",https://nasional.tempo.co/read/1946749/prabowo-beri-penghargaan-untuk-mbah-guru-matematika-dapat-hadiah-rp-100-juta,"Fri, 29 Nov 2024 05:34:16 +0700",Presiden Prabowo dan Menteri Pendidikan Dasar dan Menengah Abdul Mu'ti memberikan penghargaan untuk dua guru.
Prabowo Klaim Anggaran Pendidikan 2025 Tertinggi dalam Sejarah,https://nasional.tempo.co/read/1946735/prabowo-klaim-anggaran-pendidikan-2025-tertinggi-dalam-sejarah,"Fri, 29 Nov 2024 01:59:15 +0700",Presiden Prabowo Subianto mengatakan anggaran pendidikan tahun 2025 tertinggi sepanjang sejarah Indonesia.
Alasan TII Sebut Penyelenggaraan Pilkada dan Pemilu di Tahun yang Sama Perlu Dievaluasi,https://nasional.tempo.co/read/1946719/alasan-tii-sebut-penyelenggaraan-pilkada-dan-pemilu-di-tahun-yang-sama-perlu-dievaluasi,"Thu, 28 Nov 2024 23:22:32 +0700",TII menilai jadwal kegiatan KPU yang sangat padat pada Pemilu 2024 membuat persiapan pilkada kurang optimal.
"KPU Sebut Putaran Kedua Pilkada Jakarta Tunggu Hasil Rekapitulasi Manual Berjenjang, Begini Aturannya",https://nasional.tempo.co/read/1946709/kpu-sebut-putaran-kedua-pilkada-jakarta-tunggu-hasil-rekapitulasi-manual-berjenjang-begini-aturannya,"Thu, 28 Nov 2024 22:43:02 +0700",Partai Gerindra menyebutkan kemungkinan besar Pilkada Jakarta 2024 berlangsung dua putaran.
Herman Deru Lapor ke Jokowi usai Unggul dalam Hitung Cepat Pilgub Sumsel,https://nasional.tempo.co/read/1946708/herman-deru-lapor-ke-jokowi-usai-unggul-dalam-hitung-cepat-pilgub-sumsel,"Thu, 28 Nov 2024 22:40:32 +0700","Cagub Sumatera Selatan Herman Deru melaporkan kemenangan berdasarkan hasil hitung cepat kepada Presiden ke-7 RI, Joko Widodo."
Tim RK-Suswono Minta Publik Tunggu Keputusan KPU soal Pilkada Jakarta,https://nasional.tempo.co/read/1946698/tim-rk-suswono-minta-publik-tunggu-keputusan-kpu-soal-pilkada-jakarta,"Thu, 28 Nov 2024 22:17:52 +0700",Tim Ridwan Kamil-Suswono menyebut KPU sebagai penyelenggara pemilu yang berhak menyampaikan secara resmi hasil penghitungan suara di Pilkada Jakarta
"Ridwan Kamil Berharap Pilkada Jakarta Berlangsung 2 Putaran, Apa Syaratnya?",https://nasional.tempo.co/read/1946694/ridwan-kamil-berharap-pilkada-jakarta-berlangsung-2-putaran-apa-syaratnya,"Thu, 28 Nov 2024 21:58:01 +0700","Jika ingin berlanjut ke putaran kedua, maka tidak boleh ada pasangan calon Pilkada Jakarta yang memperoleh 50 persen plus 1 suara."
"Presiden Prabowo Hadiri HGN 2024, Abdul Mu'ti: Bukti Kedekatan dengan Para Guru",https://nasional.tempo.co/read/1946691/presiden-prabowo-hadiri-hgn-2024-abdul-muti-bukti-kedekatan-dengan-para-guru,"Thu, 28 Nov 2024 21:50:01 +0700",Mendikdasmen Abdul Mu'ti mengapresiasi kehadiran Presiden Prabowo di acara puncak Hari Guru Nasional 2024.
Saat Presiden Prabowo Ajak Para Menteri Bernyanyi Menghibur Guru,https://nasional.tempo.co/read/1946683/saat-presiden-prabowo-ajak-para-menteri-bernyanyi-menghibur-guru,"Thu, 28 Nov 2024 21:35:46 +0700","Presiden Prabowo menyebut, biasanya gubernur, menteri, hingga jenderal di Indonesia selalu dihormati dan diberi pelayanan terbaik."
Wayan Koster Klaim Kader PDIP Unggul Sementara dalam Pilkada di 8 Wilayah Bali,https://nasional.tempo.co/read/1946681/wayan-koster-klaim-kader-pdip-unggul-sementara-dalam-pilkada-di-8-wilayah-bali,"Thu, 28 Nov 2024 21:32:45 +0700",Data kemenangan sementara kader PDIP di pilkada diperoleh berdasarkan hitung nyata internal partai berdasarkan formulir C1 Hasil dari saksi tiap TPS.
"Pegadaian Galeri 24 Luncurkan Emas Batangan Denominasi 12,5 Kg",https://nasional.tempo.co/read/1946680/pegadaian-galeri-24-luncurkan-emas-batangan-denominasi-125-kg,"Thu, 28 Nov 2024 21:18:15 +0700","Emas batangan dengan denominasi 12,5 kilogram ini yaitu untuk memberikan variasi baru pilihan denominasi gram emas serta harga yang lebih efisien, baik dengan tujuan investasi maupun untuk pemenuhan kegiatan transaksi emas baik secara fisik maupun digital."
"Tempo Energy Day 2024, Upaya Wujudkan Transisi Energi untuk Generasi Mendatang",https://nasional.tempo.co/read/1946678/tempo-energy-day-2024-upaya-wujudkan-transisi-energi-untuk-generasi-mendatang,"Thu, 28 Nov 2024 21:17:57 +0700","TED 2024 diharapkan dapat menjadi wadah bagi para pemangku kepentingan dari sektor pemerintah, industri, akademisi, serta masyarakat"
Komitmen Alfamart dan Lukajel untuk Generasi Sehat Indonesia,https://nasional.tempo.co/read/1946675/komitmen-alfamart-dan-lukajel-untuk-generasi-sehat-indonesia,"Thu, 28 Nov 2024 21:08:14 +0700",Dukungan Alfamart dan Lukajel untuk kesehatan ibu dan anak lewat Posyandu di 34 kota selama Oktober-November 2024.
"Kotak Kosong Menang di Pilkada Pangkalpinang versi Hitung Cepat, Relawan Cerita Sempat Alami Intimidasi",https://nasional.tempo.co/read/1946672/kotak-kosong-menang-di-pilkada-pangkalpinang-versi-hitung-cepat-relawan-cerita-sempat-alami-intimidasi,"Thu, 28 Nov 2024 21:06:44 +0700","Kotak kosong menang melawan pasangan calon Wali Kota dan Wakil Wali Kota Pangkalpinang, Maulan Aklil dan Masagus Hakim berdasarkan hitung cepat"
Komisi II DPR Ajak Masyarakat Awasi Rekapitulasi Suara Pilkada 2024,https://nasional.tempo.co/read/1946664/komisi-ii-dpr-ajak-masyarakat-awasi-rekapitulasi-suara-pilkada-2024,"Thu, 28 Nov 2024 20:51:01 +0700",Ketua Komisi II DPR menilai proses rekapitulasi berjenjang dari tingkat kecamatan hingga provinsi merupakan salah satu celah terjadinya manipulasi suara.
Srikandi Pegadaian Gelar Seminar untuk Perempuan Berdaya,https://nasional.tempo.co/read/1946659/srikandi-pegadaian-gelar-seminar-untuk-perempuan-berdaya,"Thu, 28 Nov 2024 20:40:00 +0700","Seminar ini menjadi wadah penting untuk meningkatkan kesadaran mengenai isu-isu kekerasan terhadap perempuan yang masih menjadi tantangan global, termasuk di Indonesia."
"Sosok Rohidin Mersyah, Gubernur Bengkulu Tersangka OTT KPK",https://nasional.tempo.co/read/1946658/sosok-rohidin-mersyah-gubernur-bengkulu-tersangka-ott-kpk,"Thu, 28 Nov 2024 20:38:40 +0700",Gubernur Bengkulu Rohidin Mersyah ditetapkan sebagai tersangka OTT KPK. Berikut kasus dan profilnya.
Mendikdasmen Abdul Mu'ti Janjikan Kemudahan Pengelolaan Kinerja Guru pada 2025,https://nasional.tempo.co/read/1946650/mendikdasmen-abdul-muti-janjikan-kemudahan-pengelolaan-kinerja-guru-pada-2025,"Thu, 28 Nov 2024 20:27:38 +0700",Mendikdasmen Abdul Mu'ti mengatakan para guru nantinya tidak perlu lagi menghabiskan waktu untuk mengisi E-Kinerja
"Bea Cukai Tindak 66,99 Kg Narkotika Senilai Rp33,62 Miliar di Periode November 2024",https://bisnis.tempo.co/read/1946911/bea-cukai-tindak-6699-kg-narkotika-senilai-rp3362-miliar-di-periode-november-2024,"Fri, 29 Nov 2024 14:54:20 +0700","Bea Cukai menahan barang bukti sebanyak 66,99 kg dengan perkiraan nilai sebesar Rp33,62 miliar."
"Bea Cukai Tindak 1.562 Buah Kosmetik untuk Diperjualbelikan, Berpotensi Rugikan Negara Rp 45,6 Juta",https://bisnis.tempo.co/read/1946908/bea-cukai-tindak-1-562-buah-kosmetik-untuk-diperjualbelikan-berpotensi-rugikan-negara-rp-456-juta,"Fri, 29 Nov 2024 14:28:42 +0700",Direktorat Jenderal Bea Cukai Kementerian Keuangan memberantas upaya penyelundupan 1.562 buah kosmetik berbagai jenis senilai Rp 152 juta.
